kind,.pred_AI,.pred_class,detector,native,name,model,document_id,prompt
AI,0.25,Human,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
Human,0.006526799,Human,Crossplag,Yes,US 8th grade essay,Human,164,NA
Human,0.996456563,AI,Quil,No,Real TOEFL,Human,400,NA
AI,1.74463e-4,Human,Quil,NA,Fake CS224N - GPT3,GPT3,12,Plain
Human,0.061003149,Human,Quil,No,Real TOEFL,Human,274,NA
Human,0.229115095,Human,Sapling,Yes,Real College Essays,Human,419,NA
AI,1.47e-5,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,563,Plain
AI,0.995349348,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,10,Plain
Human,1.70457e-4,Human,HFOpenAI,Yes,Real CS224N,Human,777,NA
AI,2.65818e-4,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,78,Enhance like native
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,797,NA
AI,0.972365975,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,509,Elevate using technical
Human,1.97e-5,Human,Sapling,Yes,US 8th grade essay,Human,456,NA
AI,0.045670807,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,703,Plain
AI,0.99897447,AI,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,697,Elevate using technical
Human,0.0045,Human,OriginalityAI,Yes,US 8th grade essay,Human,104,NA
Human,6.61e-7,Human,Sapling,Yes,Real College Essays,Human,917,NA
AI,0.164626911,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,197,Simplify like non-native
AI,1.69931e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,654,Elevate using technical
Human,1.04e-6,Human,Sapling,Yes,US 8th grade essay,Human,252,NA
AI,1.82092e-4,Human,Quil,NA,Fake CS224N - GPT3,GPT3,671,Plain
AI,1.47e-5,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,20,Plain
AI,2.72147e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,622,Elevate using technical
Human,4.82961e-4,Human,HFOpenAI,Yes,US 8th grade essay,Human,331,NA
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,305,Enhance like native
AI,0.99995988,AI,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,92,Simplify like non-native
AI,0.5,Human,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,449,Simplify like non-native
AI,0.999818742,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,10,Plain
AI,0.001019484,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,285,Enhance like native
AI,0.996289611,AI,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,346,Enhance like native
Human,0.99999956,AI,Sapling,No,Real TOEFL,Human,329,NA
Human,0.039850485,Human,HFOpenAI,Yes,US 8th grade essay,Human,132,NA
AI,1.83558e-4,Human,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,896,Elevate using literary
Human,0.169785604,Human,Crossplag,No,Real TOEFL,Human,264,NA
AI,4.63715e-4,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,339,Enhance like native
AI,0.625,AI,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,330,Enhance like native
Human,2.05374e-4,Human,HFOpenAI,Yes,Real College Essays,Human,473,NA
Human,0.125,Human,ZeroGPT,Yes,Real College Essays,Human,224,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,648,Elevate using technical
Human,7.13e-7,Human,Sapling,Yes,Real College Essays,Human,540,NA
Human,0.998563707,AI,HFOpenAI,No,Real TOEFL,Human,249,NA
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,926,NA
Human,0.999774277,AI,HFOpenAI,No,Real TOEFL,Human,280,NA
AI,0,Human,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,3,Elevate using literary
AI,0.125,Human,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,205,Elevate using literary
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,680,Elevate using technical
Human,1.82785e-4,Human,HFOpenAI,Yes,Real CS224N,Human,788,NA
AI,0.123335771,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.004087193,Human,GPTZero,No,Real TOEFL,Human,450,NA
AI,1.7845e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,463,Elevate using technical
AI,0.999751747,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,442,Plain
Human,0.003443949,Human,OriginalityAI,Yes,Real CS224N,Human,748,NA
Human,2.17833e-4,Human,HFOpenAI,Yes,US 8th grade essay,Human,194,NA
AI,0.999999497,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,537,Plain
AI,0.001669943,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,517,Elevate using technical
AI,0.999230924,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,587,Plain
Human,0.005349182,Human,OriginalityAI,Yes,Real CS224N,Human,855,NA
Human,0.202427745,Human,Quil,No,Real TOEFL,Human,418,NA
AI,8.84e-7,Human,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,203,Elevate using literary
Human,3e-7,Human,GPTZero,Yes,Real CS224N,Human,766,NA
AI,3.94157e-4,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,588,Plain
AI,0.999623293,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,71,Plain
Human,0.114407048,Human,HFOpenAI,No,Real TOEFL,Human,260,NA
AI,2.04e-6,Human,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,0.982738197,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,510,Plain
AI,0.017189272,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,710,Elevate using technical
AI,0.012379341,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
Human,0.875,AI,ZeroGPT,No,Real TOEFL,Human,334,NA
AI,1.87806e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,601,Elevate using technical
Human,1.70469e-4,Human,Quil,Yes,US 8th grade essay,Human,125,NA
Human,1.95563e-4,Human,Quil,Yes,US 8th grade essay,Human,94,NA
AI,0,Human,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,918,Elevate using literary
Human,1.84522e-4,Human,HFOpenAI,Yes,Real CS224N,Human,768,NA
AI,2.50757e-4,Human,Quil,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,382,Elevate using literary
Human,0,Human,ZeroGPT,No,Real TOEFL,Human,910,NA
AI,0.25,Human,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,53,Simplify like non-native
Human,0.13415,Human,OriginalityAI,Yes,US 8th grade essay,Human,225,NA
Human,0.034971487,Human,OriginalityAI,Yes,Real CS224N,Human,882,NA
Human,1.79647e-4,Human,Crossplag,Yes,Real CS224N,Human,846,NA
Human,0.999824584,AI,Quil,No,Real TOEFL,Human,430,NA
AI,0.437899292,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,308,Enhance like native
Human,6.67e-24,Human,GPTZero,Yes,US 8th grade essay,Human,472,NA
AI,0.056323163,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,669,Elevate using technical
AI,0.92770946,AI,Crossplag,NA,Fake College Essays - GPT3,GPT3,538,Plain
Human,1.67905e-4,Human,Crossplag,Yes,US 8th grade essay,Human,110,NA
AI,5.57796e-4,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,288,Enhance like native
Human,0.514742672,AI,Crossplag,Yes,Real CS224N,Human,754,NA
Human,1.12209e-4,Human,OriginalityAI,Yes,Real CS224N,Human,809,NA
AI,0.004448109,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,678,Plain
AI,5.08e-7,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,355,Enhance like native
AI,1.45052e-4,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,66,Elevate using literary
Human,0.653521362,AI,GPTZero,No,Real TOEFL,Human,344,NA
AI,0.999992183,AI,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,506,Elevate using technical
AI,0.75,AI,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,309,Enhance like native
AI,0.116017703,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,478,Plain
AI,1.00059e-4,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,491,Enhance like native
AI,0.998133242,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,233,Simplify like non-native
AI,0.997904181,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,233,Simplify like non-native
AI,0.030849993,Human,Quil,NA,Fake College Essays - GPT3,GPT3,531,Plain
Human,0.8633461,AI,OriginalityAI,No,Real TOEFL,Human,467,NA
Human,3.20362e-4,Human,OriginalityAI,Yes,Real CS224N,Human,798,NA
AI,0.375,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,615,Plain
Human,0.01956279,Human,Crossplag,No,Real TOEFL,Human,460,NA
Human,0.023188406,Human,GPTZero,Yes,Real CS224N,Human,865,NA
AI,2.17147e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,616,Elevate using technical
Human,0.784012914,AI,HFOpenAI,No,Real TOEFL,Human,338,NA
AI,5.04e-7,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,317,Enhance like native
Human,0.178878187,Human,OriginalityAI,Yes,Real College Essays,Human,224,NA
AI,1.69632e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,601,Elevate using technical
AI,0.033965637,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,636,Plain
AI,6.68e-5,Human,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,5,Elevate using literary
AI,0.987388074,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,522,Plain
AI,0.999819458,AI,Quil,NA,Fake CS224N - GPT3,GPT3,37,Plain
Human,1.47e-5,Human,GPTZero,Yes,Real CS224N,Human,847,NA
Human,1.45e-11,Human,GPTZero,Yes,US 8th grade essay,Human,193,NA
AI,3.2e-6,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,480,Elevate using technical
AI,8.38784e-4,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,354,Enhance like native
Human,2.84108e-4,Human,Crossplag,Yes,Real CS224N,Human,810,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,436,NA
AI,1.95324e-4,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,711,Elevate using technical
AI,1.70313e-4,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,594,Elevate using technical
AI,1.90198e-4,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,255,Enhance like native
Human,6.04e-16,Human,GPTZero,Yes,US 8th grade essay,Human,89,NA
AI,1.68085e-4,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,594,Elevate using technical
Human,0.020908788,Human,Crossplag,No,Real TOEFL,Human,322,NA
AI,1.00059e-4,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,346,Enhance like native
AI,2.12e-6,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,248,Enhance like native
AI,7.3e-7,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,270,Enhance like native
AI,0.999145031,AI,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,551,Elevate using technical
Human,1.70725e-4,Human,HFOpenAI,Yes,Real CS224N,Human,880,NA
AI,1.13e-6,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,251,Simplify like non-native
AI,1.47e-5,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,610,Plain
Human,1.7935e-4,Human,Quil,Yes,Real College Essays,Human,485,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,484,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,790,NA
AI,0.999998616,AI,Sapling,NA,Fake College Essays - GPT3,GPT3,730,Plain
AI,8.71049e-4,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,894,Enhance like native
AI,0.999627102,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,567,Plain
Human,1.18597e-4,Human,OriginalityAI,Yes,Real CS224N,Human,826,NA
AI,0.169279352,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,434,Elevate using technical
AI,1.68949e-4,Human,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,539,Elevate using literary
Human,0.001660109,Human,Quil,Yes,US 8th grade essay,Human,164,NA
AI,0.584319711,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,562,Elevate using technical
AI,0.723657429,AI,Crossplag,NA,Fake CS224N - GPT3,GPT3,651,Plain
AI,0.003253815,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,686,Plain
AI,9.41947e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,561,Elevate using technical
Human,2.12e-6,Human,GPTZero,Yes,Real CS224N,Human,797,NA
Human,2.8099999999999997e-31,Human,GPTZero,Yes,US 8th grade essay,Human,146,NA
Human,1.84168e-4,Human,HFOpenAI,Yes,Real CS224N,Human,751,NA
AI,0.002296625,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,672,Plain
AI,2.60311e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,696,Elevate using technical
Human,0.005423389,Human,OriginalityAI,Yes,Real College Essays,Human,313,NA
AI,1.00059e-4,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,627,Plain
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,361,NA
AI,6.58e-7,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,673,Elevate using technical
Human,0.996987283,AI,HFOpenAI,No,Real TOEFL,Human,430,NA
AI,0.96367717,AI,GPTZero,NA,Fake College Essays - GPT3,GPT3,220,Plain
Human,0,Human,ZeroGPT,Yes,Real College Essays,Human,336,NA
Human,0,Human,ZeroGPT,Yes,US 8th grade essay,Human,173,NA
AI,1.26e-5,Human,Sapling,NA,Fake CS224N - GPT3,GPT3,18,Plain
AI,1.00059e-4,Human,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,84,Simplify like non-native
AI,1.00059e-4,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,244,Enhance like native
AI,2.19e-6,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,520,Elevate using technical
AI,1.71641e-4,Human,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,159,Simplify like non-native
AI,0.197642162,Human,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,632,Plain
Human,0.25,Human,ZeroGPT,Yes,US 8th grade essay,Human,183,NA
AI,0.003057632,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,923,Enhance like native
Human,0.997492552,AI,OriginalityAI,Yes,Real CS224N,Human,867,NA
AI,0.905794501,AI,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,65,Plain
AI,0.436126739,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,724,Elevate using technical
AI,0.85648632,AI,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,537,Plain
AI,0.00737983,Human,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,527,Elevate using technical
AI,0,Human,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,539,Elevate using literary
AI,0.020740019,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.125,Human,ZeroGPT,No,Real TOEFL,Human,246,NA
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,891,Plain
AI,1.71136e-4,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,556,Elevate using technical
AI,0.02314939,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,428,Enhance like native
AI,0.999999599,AI,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,679,Elevate using technical
Human,0.003894316,Human,Sapling,No,Real TOEFL,Human,332,NA
AI,1,AI,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,394,Simplify like non-native
AI,1.84744e-4,Human,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,42,Elevate using literary
AI,1.67993e-4,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,283,Enhance like native
Human,0.428938419,Human,OriginalityAI,Yes,Real College Essays,Human,470,NA
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,866,NA
AI,2.19497e-4,Human,Crossplag,NA,Fake College Essays - GPT3,GPT3,221,Plain
AI,2.12e-6,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,353,Enhance like native
Human,0.343623882,Human,GPTZero,No,Real TOEFL,Human,277,NA
AI,1.47e-5,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,444,Plain
AI,0.999999358,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,17,Plain
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,213,Enhance like native
AI,0.9969,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,114,Simplify like non-native
Human,7.81564e-4,Human,OriginalityAI,Yes,Real CS224N,Human,822,NA
AI,0.006635653,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,378,Enhance like native
Human,0.001205407,Human,OriginalityAI,Yes,Real CS224N,Human,866,NA
AI,0.99524647,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,106,Simplify like non-native
Human,1.76908e-4,Human,HFOpenAI,Yes,Real CS224N,Human,803,NA
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,392,Elevate using technical
Human,0.343623882,Human,GPTZero,No,Real TOEFL,Human,196,NA
AI,0.977450715,AI,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,84,Simplify like non-native
Human,0.970120579,AI,Sapling,Yes,US 8th grade essay,Human,147,NA
AI,0.1233356,Human,Quil,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0.112579685,Human,Sapling,Yes,US 8th grade essay,Human,887,NA
Human,0.75,AI,ZeroGPT,No,Real TOEFL,Human,325,NA
AI,0.951194357,AI,GPTZero,NA,Fake College Essays - GPT3,GPT3,907,Plain
AI,0.99786526,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,618,Elevate using technical
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,624,Elevate using technical
AI,1.82861e-4,Human,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,420,Elevate using literary
Human,1.95637e-4,Human,HFOpenAI,Yes,US 8th grade essay,Human,94,NA
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,704,Plain
AI,6.1e-7,Human,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,911,Enhance like native
AI,0.99171561,AI,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,26,Plain
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,64,Plain
Human,0.28426373,Human,Quil,Yes,US 8th grade essay,Human,887,NA
AI,5.24e-7,Human,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,717,Elevate using technical
Human,1.76461e-4,Human,Crossplag,Yes,Real College Essays,Human,917,NA
AI,0.999979793,AI,Sapling,NA,Fake CS224N - GPT3,GPT3,574,Plain
Human,2.12e-6,Human,GPTZero,Yes,Real CS224N,Human,807,NA
AI,0.733897388,AI,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,168,Simplify like non-native
AI,3.56772e-4,Human,GPTZero,NA,Fake CS224N - GPT3,GPT3,22,Plain
AI,5.31711e-4,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,298,Enhance like native
Human,2.04579e-4,Human,Crossplag,Yes,Real CS224N,Human,861,NA
AI,6.03456e-4,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,78,Enhance like native
AI,0.108699031,Human,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,197,Simplify like non-native
Human,0.280774713,Human,Quil,Yes,US 8th grade essay,Human,183,NA
AI,0.971135259,AI,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,434,Elevate using technical
Human,0.994919479,AI,Quil,Yes,US 8th grade essay,Human,185,NA
Human,0.25,Human,ZeroGPT,No,Real TOEFL,Human,327,NA
AI,0.999826252,AI,Quil,NA,US 8th grade essay - GPT simplify,GPT4,166,Simplify like non-native
AI,0.99981457,AI,Quil,NA,Fake CS224N - GPT3,GPT3,666,Plain
Human,5.31e-6,Human,Sapling,No,Real TOEFL,Human,214,NA
Human,2.19114e-4,Human,Crossplag,Yes,Real CS224N,Human,829,NA
AI,5.42926e-4,Human,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,68,Elevate using literary
Human,0.375568186,Human,GPTZero,Yes,Real College Essays,Human,917,NA
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,642,Plain
Human,0.999998979,AI,Sapling,No,Real TOEFL,Human,320,NA
AI,1.91692e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,702,Elevate using technical
AI,0.00100755,Human,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,895,Enhance like native
AI,0.900023467,AI,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,457,Enhance like native
AI,0.149473026,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,728,Elevate using technical
AI,0.039061017,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,384,Plain
AI,0.019020911,Human,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,369,Enhance like native
AI,3.12781e-4,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,704,Plain
AI,1.35e-6,Human,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,205,Elevate using literary
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,650,Elevate using technical
Human,1.74407e-4,Human,Crossplag,Yes,US 8th grade essay,Human,88,NA
Human,2.48706e-4,Human,HFOpenAI,Yes,Real CS224N,Human,808,NA
Human,0.99732995,AI,HFOpenAI,Yes,US 8th grade essay,Human,128,NA
AI,6.2426e-4,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,607,Elevate using technical
AI,0.982669473,AI,Quil,NA,Fake CS224N - GPT3,GPT3,663,Plain
Human,2.02644e-4,Human,Crossplag,Yes,Real CS224N,Human,818,NA
AI,0.031241018,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,618,Elevate using technical
AI,0,Human,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,722,Elevate using technical
Human,4.19e-8,Human,GPTZero,Yes,Real CS224N,Human,793,NA
AI,0.999611557,AI,Quil,NA,Fake CS224N - GPT3,GPT3,39,Plain
Human,0.139125541,Human,HFOpenAI,No,Real TOEFL,Human,335,NA
AI,1.82416e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,599,Elevate using technical
AI,0.875,AI,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,447,Simplify like non-native
Human,0.25,Human,ZeroGPT,No,Real TOEFL,Human,342,NA
AI,0.9998,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,113,Simplify like non-native
AI,2.84043e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,727,Elevate using technical
AI,1.00059e-4,Human,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,646,Elevate using technical
Human,0.5,Human,ZeroGPT,Yes,US 8th grade essay,Human,225,NA
AI,0.9996,AI,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,100,Simplify like non-native
Human,0.002707101,Human,OriginalityAI,Yes,Real College Essays,Human,50,NA
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,907,Plain
AI,1.00059e-4,Human,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,288,Enhance like native
AI,0.333476543,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,372,Enhance like native
Human,7.12e-6,Human,Sapling,Yes,US 8th grade essay,Human,413,NA
AI,5.65711e-4,Human,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,611,Elevate using technical
Human,0.693817198,AI,HFOpenAI,No,Real TOEFL,Human,262,NA
AI,2.36094e-4,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,375,Enhance like native
AI,0.005176544,Human,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,309,Enhance like native
Human,7.2e-7,Human,Sapling,No,Real TOEFL,Human,924,NA
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,266,Enhance like native
